"id","Date_Time","Low_Range","Full_Range","Temp_C","station"
1,2023-05-25 12:00:00,4.7,7.1,24.57,3
2,2023-05-25 12:00:05,3.1,7.1,24.57,3
3,2023-05-25 12:00:10,2.9,7.1,24.57,3
4,2023-05-25 12:00:15,2.9,7.1,24.56,3
5,2023-05-25 12:00:20,2.8,7.1,24.56,3
6,2023-05-25 12:00:25,4.4,7.1,24.56,3
7,2023-05-25 12:00:30,4.4,7.1,24.55,3
8,2023-05-25 12:00:35,3.1,7.1,24.55,3
9,2023-05-25 12:00:40,4.4,7.1,24.55,3
10,2023-05-25 12:00:45,4.4,7.1,24.52,3
11,2023-05-25 12:00:50,4.4,3.6,24.51,3
12,2023-05-25 12:00:55,2.9,7.1,24.49,3
13,2023-05-25 12:01:00,4.4,7.1,24.49,3
14,2023-05-25 12:01:05,4.4,7.1,24.48,3
15,2023-05-25 12:01:10,2.9,7.1,24.48,3
16,2023-05-25 12:01:15,4.7,7.1,24.47,3
17,2023-05-25 12:01:20,4.4,7.1,24.46,3
18,2023-05-25 12:01:25,2.9,7.1,24.46,3
19,2023-05-25 12:01:30,3.1,7.1,24.44,3
20,2023-05-25 12:01:35,2.9,7.1,24.44,3
21,2023-05-25 12:01:40,3.1,7.1,24.43,3
22,2023-05-25 12:01:45,2.9,7.1,24.42,3
23,2023-05-25 12:01:50,4.4,7.1,24.4,3
24,2023-05-25 12:01:55,3.1,7.1,24.39,3
25,2023-05-25 12:02:00,4.4,7.1,24.39,3
26,2023-05-25 12:02:05,4.4,7.1,24.38,3
27,2023-05-25 12:02:10,4.4,7.1,24.36,3
28,2023-05-25 12:02:15,4.4,7.1,24.36,3
29,2023-05-25 12:02:20,4.4,3.6,24.35,3
30,2023-05-25 12:02:25,3.1,7.1,24.35,3
31,2023-05-25 12:02:30,3.1,7.1,24.34,3
32,2023-05-25 12:02:35,4.7,3.6,24.34,3
33,2023-05-25 12:02:40,4.4,3.6,24.32,3
34,2023-05-25 12:02:45,2.9,3.3,24.31,3
35,2023-05-25 12:02:50,4.4,7.1,24.31,3
36,2023-05-25 12:02:55,4.4,4.8,24.3,3
37,2023-05-25 12:03:00,4.7,7.1,24.3,3
38,2023-05-25 12:03:05,4.7,3.6,24.28,3
39,2023-05-25 12:03:10,4.7,3.6,24.28,3
40,2023-05-25 12:03:15,3.1,7.1,24.27,3
41,2023-05-25 12:03:20,2.9,7.1,24.27,3
42,2023-05-25 12:03:25,3.1,7.1,24.26,3
43,2023-05-25 12:03:30,2.9,7.1,24.26,3
44,2023-05-25 12:03:35,2.9,7.1,24.25,3
45,2023-05-25 12:03:40,4.4,7.1,24.25,3
46,2023-05-25 12:03:45,3.1,7.1,24.22,3
47,2023-05-25 12:03:50,2.9,3.6,24.19,3
48,2023-05-25 12:03:55,4.7,3.6,24.21,3
49,2023-05-25 12:04:00,4.7,3.6,24.21,3
50,2023-05-25 12:04:05,2.9,3.6,24.19,3
51,2023-05-25 12:04:10,32.1,7.1,24.25,3
52,2023-05-25 12:04:15,32.1,7.1,24.25,3
