"id","Date_Time","Low_Range","Full_Range","Temp_C","station"
1,2023-05-25 12:00:00,4.7,3.9,13.98,5
2,2023-05-25 12:00:05,2.9,7.6,13.98,5
3,2023-05-25 12:00:10,3,7.6,13.98,5
4,2023-05-25 12:00:15,3,7.6,13.97,5
5,2023-05-25 12:00:20,3,3.9,13.96,5
6,2023-05-25 12:00:25,2.9,7.6,13.96,5
7,2023-05-25 12:00:30,4.4,7.6,13.94,5
8,2023-05-25 12:00:35,3,7.6,13.93,5
9,2023-05-25 12:00:40,3,7.6,13.93,5
10,2023-05-25 12:00:45,2.9,7.6,13.92,5
11,2023-05-25 12:00:50,3,7.6,13.92,5
12,2023-05-25 12:00:55,3,7.6,13.89,5
13,2023-05-25 12:01:00,3,3.9,13.88,5
14,2023-05-25 12:01:05,3,7.6,13.88,5
15,2023-05-25 12:01:10,3,7.6,13.87,5
16,2023-05-25 12:01:15,4.4,7.6,13.87,5
17,2023-05-25 12:01:20,3,7.6,13.85,5
18,2023-05-25 12:01:25,4.4,7.6,13.84,5
19,2023-05-25 12:01:30,3,7.6,13.81,5
20,2023-05-25 12:01:35,4.4,7.6,13.8,5
21,2023-05-25 12:01:40,2.9,7.6,13.79,5
22,2023-05-25 12:01:45,4.4,7.6,13.76,5
23,2023-05-25 12:01:50,3,7.6,13.75,5
24,2023-05-25 12:01:55,3.1,7.6,13.73,5
25,2023-05-25 12:02:00,3,7.6,13.72,5
26,2023-05-25 12:02:05,3,7.6,13.71,5
27,2023-05-25 12:02:10,3,7.6,13.69,5
28,2023-05-25 12:02:15,4.4,7.6,13.68,5
29,2023-05-25 12:02:20,3,5,13.67,5
30,2023-05-25 12:02:25,2.9,7.6,13.66,5
31,2023-05-25 12:02:30,4.4,7.6,13.64,5
32,2023-05-25 12:02:35,3,7.6,13.63,5
33,2023-05-25 12:02:40,3,5,13.62,5
34,2023-05-25 12:02:45,3,7.6,13.6,5
35,2023-05-25 12:02:50,3,3.9,13.59,5
36,2023-05-25 12:02:55,4.4,7.6,13.58,5
37,2023-05-25 12:03:00,3,7.6,13.56,5
38,2023-05-25 12:03:05,3,5,13.55,5
39,2023-05-25 12:03:10,3,7.6,13.54,5
40,2023-05-25 12:03:15,3,7.6,13.52,5
41,2023-05-25 12:03:20,3,5,13.51,5
