"Date_Time","Low_Range","Full_Range","Temp_C","station"
2023-05-25 12:08:35,8.3,17.5,23.8,5
2023-05-25 12:08:40,8.3,6.1,23.8,5
2023-05-25 12:08:45,6.4,6.1,23.8,5
2023-05-25 12:08:50,8.3,6.1,23.8,5
2023-05-25 12:08:55,3.7,6.1,23.8,5
2023-05-25 12:09:00,8.3,6.1,23.79,5
2023-05-25 12:09:05,8.3,6.1,23.8,5
2023-05-25 12:09:10,8.3,6.1,23.8,5
2023-05-25 12:09:15,3.7,6.1,23.8,5
2023-05-25 12:09:20,8.3,6.1,23.81,5
2023-05-25 12:09:25,3.7,17.5,23.81,5
2023-05-25 12:09:30,8.3,6.1,23.81,5
2023-05-25 12:09:35,6.4,6.1,23.81,5
2023-05-25 12:09:40,8.3,17.5,23.81,5
2023-05-25 12:09:45,3.7,6.1,23.83,5
2023-05-25 12:09:50,8.3,6.1,23.83,5
2023-05-25 12:09:55,8.3,6.1,23.84,5
2023-05-25 12:10:00,6.4,6.1,23.84,5
2023-05-25 12:10:05,3.7,6.1,23.84,5
2023-05-25 12:10:10,6.4,6.1,23.83,5
2023-05-25 12:10:15,3.7,6.1,23.76,5
2023-05-25 12:10:20,8.3,6.1,23.73,5
2023-05-25 12:10:25,3.7,6.1,23.76,5
2023-05-25 12:10:30,3.6,6.1,23.69,5
2023-05-25 12:10:35,3.7,6.1,23.72,5
2023-05-25 12:10:40,168.7,193,21.02,5
2023-05-25 12:10:45,190,216.5,21.69,5
2023-05-25 12:10:50,199.1,227.4,21.87,5
2023-05-25 12:10:55,224.7,258.8,22.09,5
2023-05-25 12:11:00,132,136.5,18.87,5
2023-05-25 12:11:05,131.7,136.5,18.51,5
2023-05-25 12:11:10,129.9,134.6,18.41,5
2023-05-25 12:11:15,127.6,131.9,18.25,5
2023-05-25 12:11:20,127.4,131.5,18.29,5
2023-05-25 12:11:25,126.7,131.1,18.15,5
2023-05-25 12:11:30,127.3,131.9,18.15,5
2023-05-25 12:11:35,126.4,130.8,18.07,5
2023-05-25 12:11:40,125.8,130,18.07,5
2023-05-25 12:11:45,126.1,130.4,18.06,5
2023-05-25 12:11:50,125.4,129.6,18.02,5
2023-05-25 12:11:55,125.3,129.6,18.03,5
2023-05-25 12:12:00,125.6,129.6,17.99,5
2023-05-25 12:12:05,124.6,128.8,17.93,5
2023-05-25 12:12:10,124.1,128.1,17.93,5
2023-05-25 12:12:15,125.1,129.2,17.95,5
2023-05-25 12:12:20,125.4,129.2,17.97,5
2023-05-25 12:12:25,124.8,128.8,17.93,5
2023-05-25 12:12:30,125.5,129.6,17.93,5
2023-05-25 12:12:35,124.9,129.2,17.93,5
2023-05-25 12:12:40,124.3,128.5,17.89,5
2023-05-25 12:12:45,124.7,128.8,17.91,5
2023-05-25 12:12:50,124.8,128.9,17.89,5
2023-05-25 12:12:55,124.3,128.5,17.87,5
2023-05-25 12:13:00,124,127.7,17.86,5
2023-05-25 12:13:05,124.2,128.5,17.86,5
2023-05-25 12:13:10,124.3,128.5,17.85,5
2023-05-25 12:13:15,124.3,128.5,17.85,5
2023-05-25 12:13:20,123.9,127.7,17.84,5
2023-05-25 12:13:25,123.9,127.7,17.82,5
2023-05-25 12:13:30,124.2,128.1,17.84,5
2023-05-25 12:13:35,124.4,128.1,17.84,5
2023-05-25 12:13:40,124,128.1,17.82,5
2023-05-25 12:13:45,123.5,127.3,17.78,5
2023-05-25 12:13:50,123.8,127.7,17.81,5
2023-05-25 12:13:55,123.4,126.9,17.8,5
2023-05-25 12:14:00,123.6,127.7,17.8,5
2023-05-25 12:14:05,123.8,127.7,17.8,5
2023-05-25 12:14:10,124.3,128.5,17.8,5
2023-05-25 12:14:15,124,127.7,17.8,5
2023-05-25 12:14:20,123.9,128.1,17.8,5
2023-05-25 12:14:25,123.6,127.7,17.78,5
2023-05-25 12:14:30,123.3,127.3,17.77,5
2023-05-25 12:14:35,123.8,127.7,17.77,5
2023-05-25 12:14:40,123.8,127.7,17.78,5
2023-05-25 12:14:45,123.7,127.7,17.78,5
2023-05-25 12:14:50,123.4,127.3,17.76,5
2023-05-25 12:14:55,123.5,127.7,17.77,5
2023-05-25 12:15:00,123.3,127.3,17.77,5
2023-05-25 12:15:05,123.6,127.7,17.78,5
2023-05-25 12:15:10,123.5,127.3,17.77,5
2023-05-25 12:15:15,123.7,127.7,17.77,5
2023-05-25 12:15:20,123.4,127.3,17.78,5
2023-05-25 12:15:25,123.5,127.3,17.77,5
2023-05-25 12:15:30,123.5,127.3,17.77,5
2023-05-25 12:15:35,123.5,126.9,17.77,5
2023-05-25 12:15:40,123.5,127.3,17.77,5
2023-05-25 12:15:45,123.5,127.3,17.77,5
2023-05-25 12:15:50,123.5,127.3,17.77,5
2023-05-25 12:15:55,123.4,126.9,17.77,5
2023-05-25 12:16:00,123.3,126.9,17.76,5
2023-05-25 12:16:05,123.2,126.5,17.76,5
2023-05-25 12:16:10,123.4,126.9,17.77,5
2023-05-25 12:16:15,123.5,127.3,17.77,5
2023-05-25 12:16:20,123.3,126.9,17.77,5
2023-05-25 12:16:25,123.2,126.5,17.77,5
2023-05-25 12:16:30,123.4,127.3,17.77,5
2023-05-25 12:16:35,123.3,127.3,17.77,5
2023-05-25 12:16:40,123.4,127.3,17.77,5
2023-05-25 12:16:45,123.5,127.3,17.77,5
2023-05-25 12:16:50,123.5,127.3,17.77,5
