"Plot Title: mgas_nhc_poolDown_cond"
"#","Date Time, GMT-04:00","Low Range, μS/cm (LGR S/N: 10423230, SEN S/N: 10423230)","Full Range, μS/cm (LGR S/N: 10423230, SEN S/N: 10423230)","Temp, °C (LGR S/N: 10423230, SEN S/N: 10423230)","Coupler Detached (LGR S/N: 10423230)","Coupler Attached (LGR S/N: 10423230)","Host Connected (LGR S/N: 10423230)","Stopped (LGR S/N: 10423230)","End Of File (LGR S/N: 10423230)"
1,06/14/23 02:00:00 PM,139.6,137.8,24.56,Logged,,,,
2,06/14/23 02:15:00 PM,139.7,137.4,24.64,,,,,
3,06/14/23 02:30:00 PM,139.4,137.1,24.65,,,,,
4,06/14/23 02:45:00 PM,139.1,137.1,24.68,,,,,
5,06/14/23 03:00:00 PM,140.0,137.8,24.68,,,,,
6,06/14/23 03:15:00 PM,143.8,141.8,24.79,,,,,
7,06/14/23 03:30:00 PM,145.5,143.9,24.99,,,,,
8,06/14/23 03:45:00 PM,144.0,142.1,25.14,,,,,
9,06/14/23 04:00:00 PM,142.5,140.6,25.31,,,,,
10,06/14/23 04:15:00 PM,140.8,138.8,25.29,,,,,
11,06/14/23 04:30:00 PM,139.8,137.7,25.37,,,,,
12,06/14/23 04:45:00 PM,138.5,136.6,25.31,,,,,
13,06/14/23 05:00:00 PM,137.5,135.5,25.37,,,,,
14,06/14/23 05:15:00 PM,136.8,134.8,25.40,,,,,
15,06/14/23 05:30:00 PM,136.3,134.4,25.48,,,,,
16,06/14/23 05:45:00 PM,135.6,133.7,25.37,,,,,
17,06/14/23 06:00:00 PM,135.0,133.4,25.25,,,,,
18,06/14/23 06:15:00 PM,134.6,132.6,25.10,,,,,
19,06/14/23 06:30:00 PM,134.3,131.9,24.98,,,,,
20,06/14/23 06:45:00 PM,134.1,132.0,24.84,,,,,
21,06/14/23 07:00:00 PM,134.1,132.0,24.72,,,,,
22,06/14/23 07:15:00 PM,134.2,132.4,24.61,,,,,
23,06/14/23 07:30:00 PM,134.4,132.0,24.48,,,,,
24,06/14/23 07:45:00 PM,134.6,132.8,24.35,,,,,
25,06/14/23 08:00:00 PM,135.1,133.1,24.22,,,,,
26,06/14/23 08:15:00 PM,135.3,133.2,24.06,,,,,
27,06/14/23 08:30:00 PM,135.6,133.5,23.93,,,,,
28,06/14/23 08:45:00 PM,136.0,133.6,23.78,,,,,
29,06/14/23 09:00:00 PM,136.3,133.9,23.65,,,,,
30,06/14/23 09:15:00 PM,136.6,134.3,23.51,,,,,
31,06/14/23 09:30:00 PM,136.9,134.7,23.39,,,,,
32,06/14/23 09:45:00 PM,137.1,134.7,23.27,,,,,
33,06/14/23 10:00:00 PM,137.3,135.1,23.16,,,,,
34,06/14/23 10:15:00 PM,137.5,135.1,23.05,,,,,
35,06/14/23 10:30:00 PM,137.7,135.1,22.94,,,,,
36,06/14/23 10:45:00 PM,137.7,135.1,22.83,,,,,
37,06/14/23 11:00:00 PM,137.7,135.2,22.75,,,,,
38,06/14/23 11:15:00 PM,137.8,135.2,22.64,,,,,
39,06/14/23 11:30:00 PM,137.7,135.2,22.56,,,,,
40,06/14/23 11:45:00 PM,137.6,135.2,22.48,,,,,
41,06/15/23 12:00:00 AM,137.5,135.2,22.41,,,,,
42,06/15/23 12:15:00 AM,137.4,135.2,22.34,,,,,
43,06/15/23 12:30:00 AM,137.4,135.2,22.26,,,,,
44,06/15/23 12:45:00 AM,137.2,134.9,22.21,,,,,
45,06/15/23 01:00:00 AM,137.1,134.9,22.15,,,,,
46,06/15/23 01:15:00 AM,137.0,134.9,22.10,,,,,
47,06/15/23 01:30:00 AM,136.8,134.2,22.04,,,,,
48,06/15/23 01:45:00 AM,136.7,134.2,22.00,,,,,
49,06/15/23 02:00:00 AM,136.6,134.2,21.95,,,,,
50,06/15/23 02:15:00 AM,136.4,133.8,21.90,,,,,
51,06/15/23 02:30:00 AM,136.3,133.8,21.84,,,,,
52,06/15/23 02:45:00 AM,136.2,133.8,21.79,,,,,
53,06/15/23 03:00:00 AM,136.0,133.5,21.73,,,,,
54,06/15/23 03:15:00 AM,135.9,133.5,21.66,,,,,
55,06/15/23 03:30:00 AM,135.8,133.5,21.61,,,,,
56,06/15/23 03:45:00 AM,135.6,133.1,21.56,,,,,
57,06/15/23 04:00:00 AM,135.6,133.2,21.50,,,,,
58,06/15/23 04:15:00 AM,135.5,133.2,21.43,,,,,
59,06/15/23 04:30:00 AM,135.3,132.8,21.39,,,,,
60,06/15/23 04:45:00 AM,135.1,132.8,21.32,,,,,
61,06/15/23 05:00:00 AM,135.0,132.5,21.26,,,,,
62,06/15/23 05:15:00 AM,134.9,132.5,21.20,,,,,
63,06/15/23 05:30:00 AM,134.7,132.1,21.13,,,,,
64,06/15/23 05:45:00 AM,134.5,132.1,21.08,,,,,
65,06/15/23 06:00:00 AM,134.3,132.1,21.03,,,,,
66,06/15/23 06:15:00 AM,134.2,131.8,20.96,,,,,
67,06/15/23 06:30:00 AM,134.1,131.4,20.90,,,,,
68,06/15/23 06:45:00 AM,133.9,131.4,20.85,,,,,
69,06/15/23 07:00:00 AM,133.8,131.1,20.81,,,,,
70,06/15/23 07:15:00 AM,133.7,131.1,20.75,,,,,
71,06/15/23 07:30:00 AM,133.7,131.1,20.73,,,,,
72,06/15/23 07:45:00 AM,133.6,130.7,20.71,,,,,
73,06/15/23 08:00:00 AM,133.6,130.7,20.71,,,,,
74,06/15/23 08:15:00 AM,133.6,131.1,20.71,,,,,
75,06/15/23 08:30:00 AM,133.6,131.1,20.73,,,,,
76,06/15/23 08:45:00 AM,133.7,130.7,20.78,,,,,
77,06/15/23 09:00:00 AM,133.7,131.1,20.82,,,,,
78,06/15/23 09:15:00 AM,133.8,131.1,20.88,,,,,
79,06/15/23 09:30:00 AM,133.9,131.0,20.94,,,,,
80,06/15/23 09:45:00 AM,134.0,131.4,21.03,,,,,
81,06/15/23 10:00:00 AM,134.0,131.8,21.11,,,,,
82,06/15/23 10:15:00 AM,134.2,132.1,21.22,,,,,
83,06/15/23 10:30:00 AM,134.4,132.1,21.35,,,,,
84,06/15/23 10:45:00 AM,134.9,132.4,21.58,,,,,
85,06/15/23 11:00:00 AM,135.2,132.7,21.80,,,,,
86,06/15/23 11:15:00 AM,135.5,133.1,21.98,,,,,
87,06/15/23 11:30:00 AM,135.8,133.4,22.13,,,,,
88,06/15/23 11:45:00 AM,136.0,133.8,22.28,,,,,
89,06/15/23 12:00:00 PM,136.5,133.7,22.55,,,,,
90,06/15/23 12:15:00 PM,137.2,135.1,22.90,,,,,
91,06/15/23 12:30:00 PM,137.7,135.8,23.13,,,,,
92,06/15/23 12:45:00 PM,138.4,136.5,23.39,,,,,
93,06/15/23 01:00:00 PM,138.9,136.8,23.61,,,,,
94,06/15/23 01:15:00 PM,139.5,137.2,23.84,,,,,
95,06/15/23 01:30:00 PM,140.1,137.9,24.10,,,,,
96,06/15/23 01:45:00 PM,140.7,138.6,24.35,,,,,
97,06/15/23 02:00:00 PM,141.3,139.6,24.60,,,,,
98,06/15/23 02:15:00 PM,141.7,139.6,24.76,,,,,
99,06/15/23 02:30:00 PM,142.3,140.6,24.97,,,,,
100,06/15/23 02:45:00 PM,142.7,140.6,25.14,,,,,
101,06/15/23 03:00:00 PM,142.9,141.0,25.25,,,,,
102,06/15/23 03:15:00 PM,143.3,141.3,25.31,,,,,
103,06/15/23 03:30:00 PM,143.3,141.3,25.28,,,,,
104,06/15/23 03:45:00 PM,143.4,141.3,25.28,,,,,
105,06/15/23 04:00:00 PM,143.8,142.0,25.39,,,,,
106,06/15/23 04:15:00 PM,144.1,142.4,25.43,,,,,
107,06/15/23 04:30:00 PM,144.1,142.0,25.39,,,,,
108,06/15/23 04:45:00 PM,144.0,142.0,25.31,,,,,
109,06/15/23 05:00:00 PM,144.0,142.1,25.24,,,,,
110,06/15/23 05:15:00 PM,144.0,141.7,25.18,,,,,
111,06/15/23 05:30:00 PM,144.0,142.1,25.13,,,,,
112,06/15/23 05:45:00 PM,144.1,142.1,25.05,,,,,
113,06/15/23 06:00:00 PM,144.0,141.7,24.97,,,,,
114,06/15/23 06:15:00 PM,143.5,141.4,24.87,,,,,
115,06/15/23 06:30:00 PM,143.5,141.4,24.78,,,,,
116,06/15/23 06:45:00 PM,143.0,141.0,24.67,,,,,
117,06/15/23 07:00:00 PM,142.9,141.1,24.56,,,,,
118,06/15/23 07:15:00 PM,142.8,140.7,24.45,,,,,
119,06/15/23 07:30:00 PM,142.6,140.4,24.34,,,,,
120,06/15/23 07:45:00 PM,142.3,140.4,24.25,,,,,
121,06/15/23 08:00:00 PM,142.1,139.7,24.14,,,,,
122,06/15/23 08:15:00 PM,141.9,139.7,24.04,,,,,
123,06/15/23 08:30:00 PM,141.7,139.7,23.96,,,,,
124,06/15/23 08:45:00 PM,141.6,139.7,23.85,,,,,
125,06/15/23 09:00:00 PM,141.4,139.4,23.77,,,,,
126,06/15/23 09:15:00 PM,141.2,139.4,23.68,,,,,
127,06/15/23 09:30:00 PM,141.1,138.7,23.59,,,,,
128,06/15/23 09:45:00 PM,141.0,138.7,23.49,,,,,
129,06/15/23 10:00:00 PM,140.8,138.3,23.39,,,,,
130,06/15/23 10:15:00 PM,140.7,138.3,23.31,,,,,
131,06/15/23 10:30:00 PM,140.6,138.0,23.21,,,,,
132,06/15/23 10:45:00 PM,140.3,138.0,23.13,,,,,
133,06/15/23 11:00:00 PM,140.2,137.7,23.04,,,,,
134,06/15/23 11:15:00 PM,139.9,137.7,22.96,,,,,
135,06/15/23 11:30:00 PM,139.7,137.3,22.86,,,,,
136,06/15/23 11:45:00 PM,139.5,137.3,22.79,,,,,
137,06/16/23 12:00:00 AM,139.3,137.0,22.70,,,,,
138,06/16/23 12:15:00 AM,139.1,137.0,22.63,,,,,
139,06/16/23 12:30:00 AM,138.9,136.6,22.55,,,,,
140,06/16/23 12:45:00 AM,138.8,136.6,22.48,,,,,
141,06/16/23 01:00:00 AM,138.7,136.3,22.40,,,,,
142,06/16/23 01:15:00 AM,138.5,136.3,22.33,,,,,
143,06/16/23 01:30:00 AM,138.4,136.3,22.26,,,,,
144,06/16/23 01:45:00 AM,138.3,136.3,22.21,,,,,
145,06/16/23 02:00:00 AM,138.2,135.6,22.14,,,,,
146,06/16/23 02:15:00 AM,138.1,136.0,22.07,,,,,
147,06/16/23 02:30:00 AM,138.0,135.3,22.02,,,,,
148,06/16/23 02:45:00 AM,138.0,135.6,21.96,,,,,
149,06/16/23 03:00:00 AM,137.8,135.3,21.91,,,,,
150,06/16/23 03:15:00 AM,137.7,135.3,21.84,,,,,
151,06/16/23 03:30:00 AM,137.6,135.7,21.79,,,,,
152,06/16/23 03:45:00 AM,137.4,135.3,21.75,,,,,
153,06/16/23 04:00:00 AM,137.3,134.9,21.69,,,,,
154,06/16/23 04:15:00 AM,137.2,134.6,21.62,,,,,
155,06/16/23 04:30:00 AM,137.0,134.2,21.57,,,,,
156,06/16/23 04:45:00 AM,136.9,134.6,21.53,,,,,
157,06/16/23 05:00:00 AM,136.8,134.2,21.47,,,,,
158,06/16/23 05:15:00 AM,136.7,133.9,21.42,,,,,
159,06/16/23 05:30:00 AM,136.7,134.3,21.37,,,,,
160,06/16/23 05:45:00 AM,136.5,133.9,21.31,,,,,
161,06/16/23 06:00:00 AM,136.4,133.9,21.26,,,,,
162,06/16/23 06:15:00 AM,136.3,133.6,21.22,,,,,
