"Date_Time","station","Low_Range","Full_Range","High_Range","Temp_C","Low_Range_Flag","Full_Range_Flag","High_Range_Flag","Temp_C_Flag","id","xfill"
2023-06-06 11:30:02,1,126.1,125.5,NA,20.06,"good","good","good","good","364",1686069002
2023-06-06 11:30:07,1,126.4,125.5,NA,20.07,"good","good","good","good","365",1686069007
2023-06-06 11:30:12,1,127,125.9,NA,20.07,"good","good","good","good","366",1686069012
2023-06-06 11:30:17,1,125.4,124.7,NA,20.07,"good","good","good","good","367",1686069017
2023-06-06 11:30:22,1,125.9,125.1,NA,20.07,"good","good","good","good","368",1686069022
2023-06-06 11:30:27,1,125.6,124.7,NA,20.07,"good","good","good","good","369",1686069027
2023-06-06 11:30:32,1,125.2,124.3,NA,20.08,"good","good","good","good","370",1686069032
2023-06-06 11:30:37,1,125.4,124.7,NA,20.06,"good","good","good","good","371",1686069037
2023-06-06 11:30:42,1,125.5,124.7,NA,20.07,"good","good","good","good","372",1686069042
2023-06-06 11:30:47,1,125.2,124.3,NA,20.06,"good","good","good","good","373",1686069047
2023-06-06 11:30:52,1,126.9,125.9,NA,20.07,"good","good","good","good","374",1686069052
2023-06-06 11:30:57,1,125.2,124.3,NA,20.07,"good","good","good","good","375",1686069057
2023-06-06 11:31:02,1,125.4,124.7,NA,20.06,"good","good","good","good","376",1686069062
2023-06-06 11:31:07,1,125.2,124.3,NA,20.06,"good","good","good","good","377",1686069067
2023-06-06 11:31:12,1,125.9,125.1,NA,20.07,"good","good","good","good","378",1686069072
2023-06-06 11:31:17,1,124.9,123.5,NA,20.07,"good","good","good","good","379",1686069077
2023-06-06 11:31:22,1,125.2,124.3,NA,20.07,"good","good","good","good","380",1686069082
2023-06-06 11:31:27,1,126.9,125.9,NA,20.07,"good","good","good","good","381",1686069087
2023-06-06 11:31:32,1,125,124.3,NA,20.07,"good","good","good","good","382",1686069092
2023-06-06 11:31:37,1,125.2,124.3,NA,20.07,"good","good","good","good","383",1686069097
2023-06-06 11:31:42,1,124.6,123.5,NA,20.07,"good","good","good","good","384",1686069102
2023-06-06 11:31:47,1,125.6,124.7,NA,20.07,"good","good","good","good","385",1686069107
2023-06-06 11:31:52,1,125.1,124.3,NA,20.07,"good","good","good","good","386",1686069112
2023-06-06 11:31:57,1,124.6,123.1,NA,20.08,"good","good","good","good","387",1686069117
2023-06-06 11:32:02,1,124.6,123.5,NA,20.07,"good","good","good","good","388",1686069122
2023-06-06 11:32:07,1,125.3,124.3,NA,20.07,"good","good","good","good","389",1686069127
2023-06-06 11:32:12,1,124.5,123.1,NA,20.07,"good","good","good","good","390",NA
